coupon,isin,issue_date,maturity_date,date,close_price
CAN 0.25 Mar 26,CA135087L518,10/9/2020,3/1/2026,1/5/2026,99.70
CAN 0.25 Mar 26,CA135087L518,10/9/2020,3/1/2026,1/6/2026,99.71
CAN 0.25 Mar 26,CA135087L518,10/9/2020,3/1/2026,1/7/2026,99.71
CAN 0.25 Mar 26,CA135087L518,10/9/2020,3/1/2026,1/8/2026,99.72
CAN 0.25 Mar 26,CA135087L518,10/9/2020,3/1/2026,1/9/2026,99.73
CAN 0.25 Mar 26,CA135087L518,10/9/2020,3/1/2026,1/12/2026,99.74
CAN 0.25 Mar 26,CA135087L518,10/9/2020,3/1/2026,1/13/2026,99.74
CAN 0.25 Mar 26,CA135087L518,10/9/2020,3/1/2026,1/14/2026,99.75
CAN 0.25 Mar 26,CA135087L518,10/9/2020,3/1/2026,1/15/2026,99.76
CAN 0.25 Mar 26,CA135087L518,10/9/2020,3/1/2026,1/16/2026,99.77
CAN 1.00 Sep 26,CA135087L930,4/16/2021,9/1/2026,1/5/2026,99.15
CAN 1.00 Sep 26,CA135087L930,4/16/2021,9/1/2026,1/6/2026,99.15
CAN 1.00 Sep 26,CA135087L930,4/16/2021,9/1/2026,1/7/2026,99.17
CAN 1.00 Sep 26,CA135087L930,4/16/2021,9/1/2026,1/8/2026,99.16
CAN 1.00 Sep 26,CA135087L930,4/16/2021,9/1/2026,1/9/2026,99.19
CAN 1.00 Sep 26,CA135087L930,4/16/2021,9/1/2026,1/12/2026,99.18
CAN 1.00 Sep 26,CA135087L930,4/16/2021,9/1/2026,1/13/2026,99.19
CAN 1.00 Sep 26,CA135087L930,4/16/2021,9/1/2026,1/14/2026,99.20
CAN 1.00 Sep 26,CA135087L930,4/16/2021,9/1/2026,1/15/2026,99.21
CAN 1.00 Sep 26,CA135087L930,4/16/2021,9/1/2026,1/16/2026,99.22
CAN 1.25 Mar 27,CA135087M847,10/15/2021,3/1/2027,1/5/2026,98.60
CAN 1.25 Mar 27,CA135087M847,10/15/2021,3/1/2027,1/6/2026,98.63
CAN 1.25 Mar 27,CA135087M847,10/15/2021,3/1/2027,1/7/2026,98.66
CAN 1.25 Mar 27,CA135087M847,10/15/2021,3/1/2027,1/8/2026,98.67
CAN 1.25 Mar 27,CA135087M847,10/15/2021,3/1/2027,1/9/2026,98.67
CAN 1.25 Mar 27,CA135087M847,10/15/2021,3/1/2027,1/12/2026,98.67
CAN 1.25 Mar 27,CA135087M847,10/15/2021,3/1/2027,1/13/2026,98.68
